date,date_certainty,event,source,citation,category,source_is_brief_only
2023-02-06,exact,"Esraelian engages Bill Reddington by email, copying Ormonde, attaching the Partnership Agreement: 'we need to value Hazel's 37.5% interest in the dairy.' NOTE: defendants' counsel characterizes Hazel's DAIRY PARTNERSHIP interest as 37.5%.",Email exhibit,"Complaint Exhibits (bound into defendants' mediation brief, Drive 1BD14JDeC0VTQGemgiFgWkjmDG-kmo7ly), Ex. D",litigation,FALSE
2023-02-15,exact,"DEFENDANTS' COUNSEL PROPOSES CORREIA-XAVIER, unprompted: 'Based on information from Bill Reddington, do you have any thoughts about using Xavier-Correrria? Or are you thinking of using anyone else. I'd like to get on this as soon as possible.'",Email exhibit,"Complaint Exhibits (bound into defendants' mediation brief, Drive 1BD14JDeC0VTQGemgiFgWkjmDG-kmo7ly), Ex. E",litigation,FALSE
2023-02-15,exact,Defendants' counsel asks about using Correia-Xavier for real property appraisal,Mediation brief,Mediation Brief p.4 (Exhibit D; NOT LOCATED),litigation,TRUE
2023-03-09,exact,Esraelian: 'We just need to decide on a real estate appraiser.' Ormonde replies same morning: 'They are good using Correia-Xavier again to value the real estate since they have been used previously.',Email exhibit,"Complaint Exhibits (bound into defendants' mediation brief, Drive 1BD14JDeC0VTQGemgiFgWkjmDG-kmo7ly), Ex. F",litigation,FALSE
2023-03-09,exact,Plaintiff's counsel agrees to Correia-Xavier,Mediation brief,Mediation Brief p.4 (Exhibit E; NOT LOCATED),litigation,TRUE
2023-03-21,exact,Defendants' counsel emails Xavier: appraisal sought 'for the purposes of the Tenants in Common Agreement buyout provisions and for the dairy partnership valuation',Mediation brief,Mediation Brief p.4 (Exhibit F; NOT LOCATED),litigation,TRUE
2023-03-21,exact,"KEY DOCUMENT. Esraelian emails Stan Xavier, copying Ormonde, ATTACHING THE TENANTS IN COMMON AGREEMENT: 'Attached is the Tenants in Common Agreement that sets forth the terms of the buy-out... We are seeking an appraisal of the properties for purposes of the Tenants in Common Agreement Buy out provisions and for the Dairy Partnership valuation... Brandon: please confirm the properties are correct.' DIRECT EVIDENCE OF JOINT APPOINTMENT FOR BUYOUT PURPOSES.",Email exhibit,"Complaint Exhibits (bound into defendants' mediation brief, Drive 1BD14JDeC0VTQGemgiFgWkjmDG-kmo7ly), Ex. G",litigation,FALSE
2023-04-06,exact,Phone conference between both counsel and Xavier re retention and scope,Mediation brief,Mediation Brief p.4,litigation,TRUE
2023-05-08,exact,"STAN XAVIER'S EMAIL, after the joint call with both counsel, stating he is WAITING FOR THE PARTIES TO DEFINE THE SCOPE for the buyout appraisal. Quoted in Ex. K. THE EMAIL ITSELF IS NOT AN EXHIBIT AND IS NOT IN THIS WORKSPACE — highest-priority retrieval (OI-28).",Email exhibit,"Complaint Exhibits (bound into defendants' mediation brief, Drive 1BD14JDeC0VTQGemgiFgWkjmDG-kmo7ly), quoted in Ex. K",litigation,FALSE
2023-06-19,exact,"TCFCU vehicle loan $55,085 (2021 Ram 2500), signed Steve + Marla only — post-Complaint-period borrowing without Trust-side signature. A-41.",TCFCU loan documents,LOANS DEEDS folder; 01-verified-facts/drive-sweep/financials-tax-banking-sweep.md sec.5,financial,FALSE
2023-06-20,exact,"Defendants' counsel emails Jace Leal (copying plaintiff's counsel) confirming Xavier for real property and Reddington for partnership, first for the federal estate tax return then for the buyouts; requests additional business information",Mediation brief,Mediation Brief p.5 (Exhibit G; NOT LOCATED),litigation,TRUE
2023-06-20,exact,"Esraelian emails Jace Leal AND Brandon Ormonde, cc Ashley Garabedian and Susan Leal: appraisals are 'for purposes of Hazel's federal estate tax return and then for the Tenants in Common agreement Buy out'; Xavier for land, Reddington for the dairy; attaches Reddington's information request list.",Email exhibit,"Complaint Exhibits (bound into defendants' mediation brief, Drive 1BD14JDeC0VTQGemgiFgWkjmDG-kmo7ly), Ex. H",litigation,FALSE
2023-08-08,exact,"Correia-Xavier real property appraisal dated; date-of-death total value $14,220,000; performed on 100% ownership; NO DISCOUNTS APPLIED",Mediation brief,Mediation Brief pp.5-6 (APPRAISAL NOT IN RECORD),valuation,TRUE
2023-08-17,exact,Jace Leal emails Esraelian asking her to send the land appraisal to Mike Edwards at Frazer for tax return purposes.,Email exhibit,"Complaint Exhibits (bound into defendants' mediation brief, Drive 1BD14JDeC0VTQGemgiFgWkjmDG-kmo7ly), Ex. I thread",litigation,FALSE
2023-08-18,exact,"Correia-Xavier appraisal 'completed' per brief; defendants decline to release it, contending it contains errors. NOTE: internal tension with the 8/8/2023 date on the same document.",Mediation brief,Mediation Brief p.5,valuation,TRUE
2023-08-18,exact,Defendants' counsel emails plaintiff's counsel: the Correia-Xavier land appraisal is COMPLETE and she will release it 'by next week' after review with clients. (Complaint Ex. I — not in workspace),Complaint,"Complaint (Ex. E to defendants' mediation brief, Drive 1BD14JDeC0VTQGemgiFgWkjmDG-kmo7ly), para 31",litigation,FALSE
2023-08-18,exact,"Esraelian to Jace Leal, cc Ormonde: 'I just received the land appraisal and am reviewing it with my clients. I will send it over to Brandon by next week... we have not started the business valuation since that follows from the land appraisal.'",Email exhibit,"Complaint Exhibits (bound into defendants' mediation brief, Drive 1BD14JDeC0VTQGemgiFgWkjmDG-kmo7ly), Ex. I",litigation,FALSE
2023-09-26,exact,"Esraelian to Ormonde: appraisals still not final. ADVERSE — asserts 'There was an agreement as to the amount of the profit distribution owed to Hazel from 2015 through 2021 in the amount of $850,894.54' and demands payment; notes Susan and Ashley are being asked to sign a dairy LOC extension and are reluctant absent good faith. NO RESPONSE APPEARS IN THE RECORD.",Email exhibit,"Complaint Exhibits (bound into defendants' mediation brief, Drive 1BD14JDeC0VTQGemgiFgWkjmDG-kmo7ly), Ex. J",litigation-adverse,FALSE
2023-09-26,exact,More than a month later the Xavier appraisal has still not been released; defendants' counsel acknowledges by email they are still talking to Xavier directly. (Complaint Ex. J — not in workspace),Complaint,"Complaint (Ex. E to defendants' mediation brief, Drive 1BD14JDeC0VTQGemgiFgWkjmDG-kmo7ly), para 32",litigation,FALSE
2023-10-28,exact,Esraelian: Susan and Ashley already signed the dairy LOC forms. (Working remotely; her father on hospice.),Email exhibit,"Complaint Exhibits (bound into defendants' mediation brief, Drive 1BD14JDeC0VTQGemgiFgWkjmDG-kmo7ly), Ex. K thread",litigation,FALSE
2023-11-15,exact,"Ormonde to Esraelian: objects that Ashley told Jace J. Hower & Associates would be reaching out; restates the prior agreement to use Xavier and Reddington; cites Stan Xavier's May 8, 2023 email showing Xavier 'is waiting for us to define the scope for appraising the property for purposes of buyout'; asks to set parameters.",Email exhibit,"Complaint Exhibits (bound into defendants' mediation brief, Drive 1BD14JDeC0VTQGemgiFgWkjmDG-kmo7ly), Ex. K",litigation,FALSE
2023-11-15,exact,"Plaintiff's counsel emails objecting that a new appraiser, J. Hower & Associates, is being retained, and restating the prior agreement to use Correia-Xavier and Reddington. (Complaint Ex. K — not in workspace)",Complaint,"Complaint (Ex. E to defendants' mediation brief, Drive 1BD14JDeC0VTQGemgiFgWkjmDG-kmo7ly), para 33",litigation,FALSE
2023-11-28,exact,"Phone call: defendants' counsel states defendants will NOT accept the Correia-Xavier appraisal, disagreeing with the valuation due to 'errors'.",Complaint,"Complaint (Ex. E to defendants' mediation brief, Drive 1BD14JDeC0VTQGemgiFgWkjmDG-kmo7ly), para 34",litigation,FALSE
2023-12-13,exact,"J. Hower & Associates real property appraisal dated; total value $18,100,000; NO DISCOUNTS APPLIED",Mediation brief,Mediation Brief p.6 (APPRAISAL NOT IN RECORD),valuation,TRUE
2023-12-31,exact,"FY2023: Dairy net LOSS $(888,608). Allocated Steve $(555,380) / ESTATE OF HAZEL LEAL $(333,228) — i.e. 62.5%/37.5%. Withdrawals charged to Estate of Hazel Leal: $8,598. Capital 12/31/2023: Steve $5,985,133 / Estate of Hazel Leal $2,531,990. ADVERSE: our own reviewed statements continue allocating profit and loss to Hazel's estate after her death.",Reviewed financial statement,"Manuel Leal & Son Dairy, FY2024/2023 Statements, Frazer LLP review report 2/18/2025 (Drive 1cqN3Cp2t9pMFiql2mXOYYZFZTxsSVZRm), Exhibit C",financial-adverse,FALSE
2024-06-07,exact,"Ormonde recommends Donovan Trone, CFA/ASA, Director at Moss Adams, as business appraiser.",Email exhibit,"Complaint Exhibits (bound into defendants' mediation brief, Drive 1BD14JDeC0VTQGemgiFgWkjmDG-kmo7ly), Ex. L",litigation,FALSE
2024-06-07,exact,Plaintiff's counsel recommends Moss Adams as qualified business appraiser (following Reddington's death),Mediation brief,Mediation Brief p.7 (Exhibit I; NOT LOCATED),litigation,TRUE
2024-07-01,exact,Defendants' counsel emails re Moss Adams availability,Mediation brief,Mediation Brief p.7 (Exhibit J; NOT LOCATED),litigation,TRUE
2024-07-01,exact,Esraelian: 'Ashley has been in discussions about the appraisal with Dustin Snyder with Moss Adams. I believe Donovan is no longer with Moss Adams.',Email exhibit,"Complaint Exhibits (bound into defendants' mediation brief, Drive 1BD14JDeC0VTQGemgiFgWkjmDG-kmo7ly), Ex. M",litigation,FALSE
2024-07-08,exact,"Kubota Credit financing $34,402.50 (MX5400 tractor), applicant the Partnership, signed by Steve — borrowing without Trust-side signature during litigation run-up. A-41.",Kubota loan documents,LOANS DEEDS folder; 01-verified-facts/drive-sweep/financials-tax-banking-sweep.md sec.5,financial,FALSE
2024-07-10,exact,Defendants' counsel emails that defendants are UNILATERALLY retaining Moss Adams as business appraiser for the Hazel Trust. (Complaint Ex. N — not in workspace),Complaint,"Complaint (Ex. E to defendants' mediation brief, Drive 1BD14JDeC0VTQGemgiFgWkjmDG-kmo7ly), para 37",litigation,FALSE
2024-07-10,exact,"Esraelian: 'Susan and Ashley, as Trustees of Hazel's Trust have determined to retain Dustin Snyder of Moss Adams.' Ormonde objects the same afternoon: 'I'm kind of surprised they retained Moss Adams already. I am the one who suggested them pertaining to an agreed upon joint appraisal.' RETENTION DECISION PRECEDES ANY JACE CONVERSATION BY SIX DAYS.",Email exhibit,"Complaint Exhibits (bound into defendants' mediation brief, Drive 1BD14JDeC0VTQGemgiFgWkjmDG-kmo7ly), Ex. N",litigation,FALSE
2024-07-16,exact,"Defendants' counsel responds that defendants and JACE LEAL had agreed to use Dustin Schneider at Moss Adams. Plaintiff's counsel immediately requests a joint scoping meeting; defendants' counsel thereafter refuses to respond to phone calls. ADVERSE: our own pleading records Jace Leal, not counsel, as the channel of agreement. (Complaint Ex. N)",Complaint,"Complaint (Ex. E to defendants' mediation brief, Drive 1BD14JDeC0VTQGemgiFgWkjmDG-kmo7ly), para 37",litigation-adverse,FALSE
2024-07-16,exact,"Esraelian: 'Apparently, Ashley talked to Jace directly and Jace agreed with using Dustin from Moss Adams. We have not yet signed the engagement letter.' Ormonde objects same day: 'we also need to talk to him jointly... he would need to know the parameters of the appraisal and the terms of the buyout.'",Email exhibit,"Complaint Exhibits (bound into defendants' mediation brief, Drive 1BD14JDeC0VTQGemgiFgWkjmDG-kmo7ly), Ex. N",litigation,FALSE
2024-09-10,exact,"MOSS ADAMS REVIEW LETTER (Steven A. Klett, MAI, CA Lic. AG-026235) to Esraelian. Finds no obvious errors or omissions in either appraisal; both credible; both appraisers qualified; slight advantage to Correia-Xavier for a more detailed report. ADVERSE: 'it is not possible to conclude to a supportable indication of value as both reports are equally credible,' and notes 'the CX appraiser (hired by the potential buyer) came up with a lower value for every component.' Recommends a jointly hired third appraiser or averaging. MARKED 'FOR CLIENT USE ONLY. NOT TO BE RELIED UPON BY THIRD PARTIES.' Desk-top review; no inspection; no math check; states it is not intended to comply with USPAP.",Email exhibit,"Complaint Exhibits (bound into defendants' mediation brief, Drive 1BD14JDeC0VTQGemgiFgWkjmDG-kmo7ly), Ex. Q",valuation,FALSE
2024-09-22,exact (report date),"Edwards, Lien & Toso personal property appraisal issued (inspection 9/9/2024): cattle $3,990,000 / equipment $645,000 / feed $2,080,000 / pool quota $715,000 — 'retrospective to September 30, 2022, which was the reported date of death of Hazel J. Leal' (A THIRD death-date variant; see A-48/OI-53). Values feed Moss Adams BV Exhibit 15.",EL&T appraisal report,Drive 1j8YCVJRHiwfY51A8r998aHVTGUqugzQi; extract 01-verified-facts/drive-sweep/valuations-instruments-sweep.md sec.6,valuation,FALSE
2024-09-26,exact,"Ashley Garabedian emails Jace Leal directly, cc Esraelian: both appraisals credible per Moss Adams; proposes averaging; states 'I'm reaching out to you directly because there have been continual delays when waiting for a response from Mr. Ormonde.' Also discloses a PERSONAL PROPERTY APPRAISAL recently completed and required to finalize the business valuation — never seen in this workspace.",Email exhibit,"Complaint Exhibits (bound into defendants' mediation brief, Drive 1BD14JDeC0VTQGemgiFgWkjmDG-kmo7ly), Ex. O",litigation,FALSE
2024-09-26,exact,Defendant Ashley emails Jace Leal directly: two real property appraisals plus Moss Adams analysis finding BOTH Correia-Xavier and J. Hower credible despite the valuation gap; suggests AVERAGING the values; attributes delay to plaintiff's counsel. (Complaint Ex. O — not in workspace),Complaint,"Complaint (Ex. E to defendants' mediation brief, Drive 1BD14JDeC0VTQGemgiFgWkjmDG-kmo7ly), para 38",litigation,FALSE
2024-11-18,exact,"Moss Adams Partnership Valuation dated; concluded value $2,840,000; minority interest and discounts applied",Mediation brief,Mediation Brief p.7 (VALUATION NOT IN RECORD),valuation,TRUE
2024-11-18,exact,"Moss Adams REVIEW LETTER on the two real property appraisals: both found valid, different approaches used, and 'no errors or an improper appraisal performed by Correia Xavier.' STRONGEST FACT FOR OUR SIDE. Document is Complaint Ex. Q and is NOT in this workspace — obtain it.",Complaint,"Complaint (Ex. E to defendants' mediation brief, Drive 1BD14JDeC0VTQGemgiFgWkjmDG-kmo7ly), para 45 (Ex. Q not reviewed)",valuation,FALSE
2024-12-31,exact,"AgWest Farm Credit lines: herd line max $1,700,000, feed line max $300,000, 8.30% at 12/31/2024. LOC balance moved $913,420 (12/31/2023) to $0 (12/31/2024); cash $0 with a $99,279 bank overdraft at 12/31/2024. RELEVANT TO THE SETTLEMENT AGREEMENT PARA 11(a) $100,000-PER-30-DAY BORROWING CAP — monthly LOC statements required to assess.",Reviewed financial statement,"Manuel Leal & Son Dairy, FY2024/2023 Statements, Frazer LLP review report 2/18/2025 (Drive 1cqN3Cp2t9pMFiql2mXOYYZFZTxsSVZRm), Notes 2 and 3, balance sheet",financial-adverse,FALSE
2024-12-31,exact,"FY2024: Dairy net income $2,026,658. Allocated Steve $1,266,661 / ESTATE OF HAZEL LEAL $759,997 (62.5%/37.5%). Withdrawals charged to Estate of Hazel Leal: $73,192, including 'Personal' $70,441. Capital 12/31/2024: Steve $7,176,923 / Estate of Hazel Leal $3,218,795. NET FY2023+FY2024 ALLOCATION TO HAZEL = $426,769 after the FY2023 loss — far below the $1,617,761 claimed through Dec 2024.",Reviewed financial statement,"Manuel Leal & Son Dairy, FY2024/2023 Statements, Frazer LLP review report 2/18/2025 (Drive 1cqN3Cp2t9pMFiql2mXOYYZFZTxsSVZRm), Exhibit C",financial-adverse,FALSE
2024-12-31,exact,"Note 6 related party: JL Ag provides harvesting services to the Dairy; paid $22,102 (2024) and $13,330 (2023). No BioGas or Feedstock lease is disclosed anywhere in the FY2024/2023 statements — the only lease disclosed is a solar equipment finance lease from Farm Credit Leasing expiring October 2026.",Reviewed financial statement,"Manuel Leal & Son Dairy, FY2024/2023 Statements, Frazer LLP review report 2/18/2025 (Drive 1cqN3Cp2t9pMFiql2mXOYYZFZTxsSVZRm), Notes 5 and 6",financial,FALSE
2024-12-31,tax-year (2024 Form 1065),"2024 partnership return CONTINUES Steve 62.5 / Hazel Revocable Trust 37.5: Trust allocated $375,483 ordinary income, $82,441 cash distributions, $1,499,399 recourse-liability share — two tax years post-death. (2023 Form 1065 ABSENT from Drive — OI-48.) See post-death-profits-issue.md sec.12, A-40.",2024 Form 1065 + K-1s,Drive 19vCxylD2zSBrfXak-Ifd66TceRjkDraE; 01-verified-facts/drive-sweep/financials-tax-banking-sweep.md sec.2,financial,FALSE
2025-01-17,exact,"Ashley Garabedian emails Jace Leal the appraisals, review and valuation, cc Steve and Susan Leal: 'For clarity and simplicity, my preference is that you retain these documents and forward them to Brandon Ormonde, your attorney, at your discretion.' STRONGEST SUPPORT FOR THE WITHHOLDING ALLEGATION.",Email exhibit,"Complaint Exhibits (bound into defendants' mediation brief, Drive 1BD14JDeC0VTQGemgiFgWkjmDG-kmo7ly), Ex. P",litigation,FALSE
2025-01-17,exact,Defendant Ashley Garabedian emails appraisals and Moss Adams findings to Jace Leal,Mediation brief,"Mediation Brief pp.5, 7",litigation,TRUE
2025-02-13,exact (file date in name; sheets dated 2.5.25/2.13.25),"Client 'Appraisal Summary' workbook built: buyout rebuilt as $4,902,101.78 (average of CX and CX/JHA-average) − $262,592 − $194,352.65 + interest through 2/28/2025 $455,584.32 = $4,900,741.45; separate sheet shows 'excess draws −591,235' (a THIRD variant vs $591,965); loan calculators at 4% and at 8%; 'MA Valuation - Less Trees/Improvements 3,101,000' row derives the $1,162,875. Precursor to the 3/3/2025 offer.",Appraisal Summary 2.13.25 (1).xlsx,Drive 1bW44eOIrVf8csZpOjV_nbF2J8pDVILG2; extract 01-verified-facts/drive-sweep/valuations-instruments-sweep.md sec.20,valuation,FALSE
2025-02-18,exact,"Frazer LLP issues a QUALIFIED review conclusion on the FY2024/2023 statements: $1,391,112 of debt due within one year shown as long-term 'at the request of the Dairy's management,' and farming operations presented net rather than gross, both departures from GAAP.",Reviewed financial statement,"Manuel Leal & Son Dairy, FY2024/2023 Statements, Frazer LLP review report 2/18/2025 (Drive 1cqN3Cp2t9pMFiql2mXOYYZFZTxsSVZRm), Independent Accountants' Review Report",financial-adverse,FALSE
2025-03-03,exact,"Ormonde's offer letter, $3,950,565.28, with the full computation: land $3,360,922.43 + partnership $1,046,587.50 = $4,407,509.93; less $262,592.00 excess distributions during Hazel's lifetime and $194,352.65 distributions after her death. ARITHMETIC VERIFIED. Attaches a worksheet (Ex. A) and Frazer's capital-account summary (Ex. B) — NEITHER IN THIS WORKSPACE. This is the computation behind the mislabelled 'negative capital account' allegation.",Email exhibit,"Complaint Exhibits (bound into defendants' mediation brief, Drive 1BD14JDeC0VTQGemgiFgWkjmDG-kmo7ly), Ex. R",settlement,FALSE
2025-03-03,exact,"Plaintiff's letter identifying deficiencies; buyout offer $3,950,565.28 (30% minority discount; improvements removed; Hazel's asserted negative capital account taken into account)",Mediation brief,Mediation Brief p.8 (Exhibit K; NOT LOCATED),settlement,TRUE
2025-05-23,exact,"Ormonde's second letter: recounts the history, states Moss Adams 'found no errors in that appraisal' and 'validated the findings.' NOTE: 'validated the findings' overstates Ex. Q, which expressly declined to conclude a supportable value.",Email exhibit,"Complaint Exhibits (bound into defendants' mediation brief, Drive 1BD14JDeC0VTQGemgiFgWkjmDG-kmo7ly), Ex. S",settlement,FALSE
2025-05-23,exact,"Plaintiff sends a second letter asking the status of the March 3, 2025 offer; no response received. (Complaint Ex. S — not in workspace)",Complaint,"Complaint (Ex. E to defendants' mediation brief, Drive 1BD14JDeC0VTQGemgiFgWkjmDG-kmo7ly), para 48",settlement,FALSE
2025-06-19,exact,"Defendants' letter rejecting offer; 'Final' counteroffer $7,359,766.00 (15% minority discount) plus $1,617,761.00 claimed unpaid partnership profit through Dec 2024",Mediation brief,"Mediation Brief pp.8, 10 (Exhibit L; NOT LOCATED). Figure printed in brief as '$7,359.766.00' — typo in our brief.",settlement,TRUE
2025-06-19,exact,"Esraelian's counteroffer, itemized: TIC buy-out $5,198,366 (using the AVERAGE of the two appraisals, $16,160,000, less a 15% minority discount); Partnership buy-out $1,162,875 — IDENTICAL TO OUR OWN FIGURE; 10% buy-out discount applied to both = $5,725,117; plus $1,617,761 unpaid partnership profit through Dec 2024 with retains and interest; PLUS an unquantified pro-rata share of BIOGAS AND FEEDSTOCK LEASE CREDITS — an issue appearing nowhere else in the record. Total $7,359,766 plus 2025 profit plus credits.",Email exhibit,"Complaint Exhibits (bound into defendants' mediation brief, Drive 1BD14JDeC0VTQGemgiFgWkjmDG-kmo7ly), Ex. U",settlement,FALSE
2025-06-20,exact,"Plaintiff sends a third letter asking the status of the offer. NOTE: crossed with defendants' rejection letter dated June 19, 2025. (Complaint Ex. T — not in workspace)",Complaint,"Complaint (Ex. E to defendants' mediation brief, Drive 1BD14JDeC0VTQGemgiFgWkjmDG-kmo7ly), para 49",settlement,FALSE
2025-06-25,exact,"Plaintiff receives defendants' June 19, 2025 letter",Mediation brief,Mediation Brief p.8,settlement,TRUE
2025-10-16,exact,"COMPLAINT SIGNED AND FILED — Superior Court of California, County of Tulare, Visalia Division. Ten causes of action: breach of contract, breach of implied covenant, and declaratory relief against each of the Settlement Agreement, TIC Agreement and Partnership Agreement. PUNITIVE DAMAGES pleaded under Civ. Code 3294 in counts 3, 6 and 9. Prayer asks the court to order defendants to EMPLOY Correia-Xavier and Moss Adams. Clerk file stamp reads OCT 2025 (day digit illegible).",Complaint,"Complaint (Ex. E to defendants' mediation brief, Drive 1BD14JDeC0VTQGemgiFgWkjmDG-kmo7ly), signature block and clerk stamp, p.1 and p.28",litigation,FALSE
2026-00-00,NOT ESTABLISHED,DEFECT: The 998 offer itself is UNDATED — 'Dated: ______' blank on both the offer and the Request to Enter Judgment.,Document,"998 offer FINAL.pdf, signature blocks",litigation-adverse,FALSE
2026-01-21,exact,"DEFENDANTS' MEDIATION BRIEF (Thompson / Cunningham, Whitney Thompson & Jeffcoach) to Hon. Timothy R. Volkmann (Ret.), JAMS Ref. No. 7110001065. Marked CONFIDENTIAL SETTLEMENT COMMUNICATIONS - EVIDENCE CODE 1152. Attaches Settlement Agreement (Ex. A), TIC Agreement (Ex. B), Partnership Agreement (Ex. C), schedule of appraisal errors (Ex. D), and the COMPLAINT (Ex. E). Alleges breach of the $100,000 borrowing covenant, failure to keep Hazel informed, failure to distribute, and misappropriation of corporate opportunities. States no discovery has taken place, no trial date set, open-ended extension to respond to the Complaint.",Defendants mediation brief,"2026.01.21 Garabedian-Leal Mediation Brief (Drive 1BD14JDeC0VTQGemgiFgWkjmDG-kmo7ly), pp.1-5",litigation-adverse,FALSE
2026-01-21,exact,Garabedian-Leal Mediation Brief dated (Drive 1BD14JDeC0VTQGemgiFgWkjmDG-kmo7ly) — NOT YET REVIEWED,Document metadata,Drive file title and date,litigation,FALSE
2026-01-28,exact,"Mediation before Hon. Timothy Volkmann (Ret.), JAMS, 10:00 a.m.",Mediation brief,Mediation Brief caption,litigation,TRUE
2026-01-29,exact (Drive timestamp),"Day after the 1/28/2026 JAMS mediation: client saves an AI-chat reply recounting mediation communications (opposing $6,000,000 demand incl. ~$1.6M EBITDA-based 'unpaid profits 2015-2022') to personal Drive. Evid. Code 1119/1152 exposure — see A-37, OI-44.",Client Drive document,"'Makes sense but the 6 million is actually instead ...', Drive 12pchHdQGaN_7pZ-XfOqAqQyw2OF-2X9ZROkIOiON5AU; extract in 01-verified-facts/drive-sweep/drafts-proposals-sweep.md",litigation,FALSE
2026-01-31,exact (Drive timestamps; wave runs 1/31-2/2),"First wave of AI-generated settlement drafts created in client's personal Drive: $4,900,000 structures (with-interest $658,345.21; WITHOUT-interest variant offering zero interest; 72-hour-ultimatum demand letter; release drafts). First appearance of the $262,592/$319,055 offset stack ($56,463 component marked 'Needs verification'). All reject historical profits incl. periods covered by the 8/30/2022-agreed $850,894.54. INTERNAL DRAFTS — never established as sent. See A-29 to A-32.",Client Drive documents (6 files),"Drive IDs in manifest, 01-verified-facts/drive-sweep/drafts-proposals-sweep.md",litigation,FALSE
2026-02-00,day-illegible,"ORIGINAL CASE MANAGEMENT CONFERENCE set by clerk stamp on the Complaint for 02-1?-2026 at 9:30 a.m. (day digit illegible). The October 13, 2026 CMC is therefore a CONTINUED date. CONFIRM THE CONTINUANCE AND ANY SCHEDULING ORDER AGAINST THE DOCKET.",Complaint,"Complaint (Ex. E to defendants' mediation brief, Drive 1BD14JDeC0VTQGemgiFgWkjmDG-kmo7ly), clerk stamp, p.1",litigation,FALSE
2026-03-01,as-recited (internal draft; unverified),"Partnership 'forced to exhaust its primary operating line of credit to bridge' the matured Orozco balloon note 'solely to protect the land from foreclosure' — as recited in our 5/18/2026 draft letter. If accurate, a Settlement para. 11/11(a) authority analysis is required for the bridge borrowing itself. NOT independently documented. See OI-46.",Internal draft letter (recital),'Formal Cover Letter (Updated)' 5/18/2026; extract in 01-verified-facts/drive-sweep/drafts-proposals-sweep.md,financial,FALSE
2026-05-01,exact (Drive timestamps),"Second wave of 998 drafts created: $5,000,000 structure ($5,671,780.82 total), then $4,700,000 structure — FIRST appearance of $5,705,257.43 total, stated INSIDE the draft offer documents (contrast the served S-1, which contains no sum — memo 6.15). Non-monetary conditions (LLA, well, easements, life estate) embedded from first draft. 'Timeline of Delay' fee-motion doc also created (six of its seven events conflict with or are absent from this chronology — OI-45). INTERNAL DRAFTS.",Client Drive documents (7 files),"Drive IDs in manifest, 01-verified-facts/drive-sweep/drafts-proposals-sweep.md",litigation,FALSE
2026-05-04,exact (Drive timestamps),"Third wave: 998 + release + counsel-letter drafts naming 'Ashley Susan Garabedian'; offset changes to $332,606.12 'through May 4, 2026'; interest still stated $677,830.41 (the through-5/1 figure, unrefreshed); letter version asserts '90% contractual buyout discount and a 25% minority interest discount on the real property.' INTERNAL DRAFTS.",Client Drive documents (4 files),"Drive IDs in manifest, 01-verified-facts/drive-sweep/drafts-proposals-sweep.md",litigation,FALSE
2026-05-15,as-recited (internal draft; unverified),"Correspondence re Farm Credit refinance / exhausted operating line — referenced as 'our correspondence dated May 15, 2026' in the 5/18 draft letters. NOT located. See OI-46.",Internal draft letter (recital),5/18/2026 cover letters; extracts in 01-verified-facts/drive-sweep/drafts-proposals-sweep.md,litigation,FALSE
2026-05-18,as-recited (internal draft; unverified),11:16 AM: opposing counsel (Cunningham) communication claiming her clients 'were not aware of a balloon payment due in 2026' on the Heifer Ranch — as characterized in our same-day draft rebuttal letter. Underlying email NOT located; obtain verbatim before characterizing anywhere. See OI-41/OI-46.,Internal draft letter (recital),'Formal Cover Letter (Updated)' 5/18/2026; extract in 01-verified-facts/drive-sweep/drafts-proposals-sweep.md,litigation,FALSE
2026-05-18,exact (Drive timestamps 16:12-20:17),"Four cover-letter drafts for a $5,750,000 FLAT LUMP-SUM 998 offer created; final version fully addressed to Niki Cunningham, Esq., Wild Carter & Tipton, and signed 'Brandon M. Ormonde, Esq.' ($5,705,257.43 'Strict Contractual Baseline' + $44,742.57 'rounding premium'). The enclosure (the offer itself) NOT located. SERVICE NOT ESTABLISHED — OI-41, THE threshold 998 question. If served, the 7/2/2026 offer is a $44,742.57 REDUCTION (memo 6.14; R1 Addendum 2). FIRM-NAME NOTE (8/18/2026): defense counsel of record is Whitney Thompson & Jeffcoach — 'Wild, Carter & Tipton' is not in the case; the drafts' addressee mismatch is evidence they were never served (OI-41 update).",Client Drive documents (4 files),Drive IDs 12jDIxClD7gT793NZp0hFH8Prsa2oWW8UnxZUNNew1uM / 12LYdTj8ChqW6Crds-_vPpCveUGvJiJID6wqQoZ5nnz0 / 10ymulgEcqUhE5AsjKl2KelrmCqcdq4tZ / 1_PVcJQTx2bC53F4LklER7tN83_k7lSovwJk5AoHXevA; extracts in 01-verified-facts/drive-sweep/drafts-proposals-sweep.md,litigation,FALSE
